timestamp,sensor_id,alignment_status,relay_status,led_status,thermal_fuse_blown,alerts,measured_force,operational_mode
2025-06-20T11:58:46.725330,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.47,1
2025-06-20T11:58:47.726060,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.01,1
2025-06-20T11:58:48.726781,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.09,1
2025-06-20T11:58:49.727263,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.35,1
2025-06-20T11:58:50.727737,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.93,1
2025-06-20T11:58:51.727942,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.72,1
2025-06-20T11:58:52.728293,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.5,1
2025-06-20T11:58:53.730029,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.7,1
2025-06-20T11:58:54.730366,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.23,1
2025-06-20T11:58:55.730622,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.38,1
2025-06-20T11:58:56.731288,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.25,1
2025-06-20T11:58:57.732176,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,4.0,1
2025-06-20T11:58:58.732384,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.55,1
2025-06-20T11:58:59.732581,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.0,1
2025-06-20T11:59:00.732832,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.51,1
2025-06-20T11:59:01.733004,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.63,1
2025-06-20T11:59:02.733305,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.97,1
2025-06-20T11:59:03.733762,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.65,1
2025-06-20T11:59:04.734337,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.42,1
2025-06-20T11:59:05.734852,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.94,1
2025-06-20T11:59:06.735172,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.76,1
2025-06-20T11:59:07.735551,TS2V4AI-PULLEY-001,1,0,0,0,MISALIGNMENT,12.52,1
2025-06-20T11:59:08.735902,TS2V4AI-PULLEY-001,1,0,0,0,MISALIGNMENT,12.75,1
2025-06-20T11:59:09.736771,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.04,1
2025-06-20T11:59:10.736913,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.2,1
2025-06-20T11:59:11.865901,TS2V4AI-PULLEY-001,1,0,0,0,MISALIGNMENT,13.43,1
2025-06-20T11:59:12.867643,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.05,1
2025-06-20T11:59:13.868335,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.93,1
2025-06-20T11:59:14.868915,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.8,1
2025-06-20T11:59:15.869646,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.3,1
2025-06-20T11:59:16.870042,TS2V4AI-PULLEY-001,1,0,0,0,MISALIGNMENT,10.37,1
2025-06-20T11:59:17.870815,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.53,1
2025-06-20T11:59:18.871561,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.85,1
2025-06-20T11:59:19.872130,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.37,1
2025-06-20T11:59:20.872704,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.92,1
2025-06-20T11:59:21.873306,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.39,1
2025-06-20T11:59:22.873822,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.63,1
2025-06-20T11:59:23.874146,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.43,1
2025-06-20T11:59:24.874591,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.21,1
2025-06-20T11:59:25.874811,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.15,1
2025-06-20T11:59:26.875382,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.82,1
2025-06-20T11:59:27.875529,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.95,1
2025-06-20T11:59:28.875845,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.59,1
2025-06-20T11:59:29.876578,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,3.38,1
2025-06-20T11:59:30.877193,TS2V4AI-PULLEY-001,1,0,0,0,MISALIGNMENT,11.56,1
2025-06-20T11:59:31.877790,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.63,1
2025-06-20T11:59:32.878332,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,1.03,1
2025-06-20T11:59:33.878951,TS2V4AI-PULLEY-001,0,1,1,0,NORMAL,2.71,1
