timestamp,sensor_id,applied_load_kN,mv_per_v,excitation_V,temperature_C,impact_event,alerts
2025-06-20T11:58:46.725330,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:47.726060,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:48.726781,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:49.727263,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:50.727737,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:51.727942,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:52.728293,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.0,0,NORMAL
2025-06-20T11:58:53.730097,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:54.730872,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:55.731133,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:56.731806,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:57.732176,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:58.732982,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:58:59.733608,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:00.752933,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:01.753905,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:02.754188,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:03.755364,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:04.755676,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:05.756115,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.01,0,NORMAL
2025-06-20T11:59:06.756324,SGLC7050-IMPACTBED-001,2000.0,1.5,10.0,25.01,1,IMPACT
2025-06-20T11:59:07.756794,SGLC7050-IMPACTBED-001,2000.0,1.5,10.0,25.02,1,IMPACT
2025-06-20T11:59:08.757391,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:09.758031,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:10.758331,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:11.763643,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:12.771073,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:13.771812,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:14.772613,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:15.773341,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:16.773627,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:17.774197,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:18.774506,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:19.775617,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:20.777541,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.02,0,NORMAL
2025-06-20T11:59:21.778147,SGLC7050-IMPACTBED-001,1600.0,1.2,10.0,25.03,0,NORMAL
