timestamp,sensor_id,rotation_count,rpm,temp_left,temp_right,vibration_rms,BPFI,BPFO,BSF,FTF,alerts
2025-06-27T10:37:05.651577,SI-OFBA-6309-45-40-03,0,350.0,36.6,39.2,0.4281,0.0382,0.0317,0.0348,0.0956,RPM_DEVIATION
2025-06-27T10:37:05.751968,SI-OFBA-6309-45-40-03,0,350.0,34.3,34.6,0.3256,0.0593,0.0191,0.0765,0.0213,RPM_DEVIATION
2025-06-27T10:37:05.852609,SI-OFBA-6309-45-40-03,0,350.0,34.5,37.0,0.4418,0.0839,0.0621,0.0518,0.061,RPM_DEVIATION
2025-06-27T10:37:05.953047,SI-OFBA-6309-45-40-03,0,350.0,32.8,34.6,0.1023,0.0763,0.0339,0.0815,0.0292,RPM_DEVIATION
2025-06-27T10:37:06.053626,SI-OFBA-6309-45-40-03,0,350.0,33.4,32.2,0.3197,0.0356,0.0413,0.0134,0.0447,RPM_DEVIATION
2025-06-27T10:37:06.153945,SI-OFBA-6309-45-40-03,0,350.0,36.4,30.9,0.3588,0.0326,0.0646,0.0872,0.0853,RPM_DEVIATION
2025-06-27T10:37:06.254318,SI-OFBA-6309-45-40-03,0,350.0,33.9,32.5,0.2687,0.0283,0.0507,0.0203,0.0695,RPM_DEVIATION
2025-06-27T10:37:06.354586,SI-OFBA-6309-45-40-03,0,350.0,36.7,34.8,0.1941,0.0578,0.0695,0.0102,0.0171,RPM_DEVIATION
2025-06-27T10:37:06.455042,SI-OFBA-6309-45-40-03,0,350.0,34.9,36.8,0.4282,0.0418,0.0452,0.028,0.0414,RPM_DEVIATION
2025-06-27T10:37:06.555666,SI-OFBA-6309-45-40-03,0,350.0,33.1,35.8,0.3822,0.0901,0.0903,0.0186,0.0749,RPM_DEVIATION
2025-06-27T10:37:06.656061,SI-OFBA-6309-45-40-03,0,350.0,35.7,34.9,0.2422,0.0413,0.064,0.0208,0.0171,RPM_DEVIATION
2025-06-27T10:37:06.756324,SI-OFBA-6309-45-40-03,0,350.0,33.8,34.8,0.1425,0.0587,0.0166,0.0683,0.015,RPM_DEVIATION
2025-06-27T10:37:06.856849,SI-OFBA-6309-45-40-03,0,350.0,34.1,35.7,0.1322,0.0652,0.0907,0.0497,0.0145,RPM_DEVIATION
2025-06-27T10:37:06.957527,SI-OFBA-6309-45-40-03,0,350.0,31.8,36.1,0.1372,0.0898,0.0476,0.0713,0.0335,RPM_DEVIATION
2025-06-27T10:37:07.058227,SI-OFBA-6309-45-40-03,0,350.0,36.6,31.9,0.1982,0.0242,0.0837,0.0536,0.0613,RPM_DEVIATION
2025-06-27T10:37:07.158651,SI-OFBA-6309-45-40-03,0,350.0,38.1,35.7,0.3899,0.0316,0.0629,0.0677,0.0816,RPM_DEVIATION
2025-06-27T10:37:07.259325,SI-OFBA-6309-45-40-03,0,350.0,33.9,37.5,0.2931,0.03,0.0893,0.044,0.0446,RPM_DEVIATION
2025-06-27T10:37:07.360076,SI-OFBA-6309-45-40-03,0,350.0,36.0,32.9,0.3617,0.0275,0.0902,0.0536,0.0444,RPM_DEVIATION
2025-06-27T10:37:07.460739,SI-OFBA-6309-45-40-03,0,350.0,34.1,33.2,0.2619,0.0322,0.0436,0.0857,0.0678,RPM_DEVIATION
2025-06-27T10:37:07.561025,SI-OFBA-6309-45-40-03,0,350.0,36.0,36.0,0.3146,0.0174,0.0946,0.0639,0.0407,RPM_DEVIATION
2025-06-27T10:37:07.661346,SI-OFBA-6309-45-40-03,0,350.0,32.2,37.0,0.2828,0.0113,0.0599,0.0963,0.0211,RPM_DEVIATION
2025-06-27T10:37:07.762103,SI-OFBA-6309-45-40-03,0,350.0,33.8,34.1,0.4666,0.0442,0.0571,0.0517,0.0104,RPM_DEVIATION
2025-06-27T10:37:07.862669,SI-OFBA-6309-45-40-03,0,350.0,36.1,35.1,0.3073,0.0851,0.0398,0.0747,0.0208,RPM_DEVIATION
2025-06-27T10:37:07.963154,SI-OFBA-6309-45-40-03,0,350.0,34.9,34.7,0.3036,0.0237,0.0845,0.0487,0.0313,RPM_DEVIATION
2025-06-27T10:37:08.063989,SI-OFBA-6309-45-40-03,0,350.0,33.9,39.0,0.4065,0.0708,0.0411,0.0818,0.0569,RPM_DEVIATION
2025-06-27T10:37:08.165521,SI-OFBA-6309-45-40-03,0,350.0,36.8,32.5,0.4041,0.0858,0.0152,0.038,0.023,RPM_DEVIATION
2025-06-27T10:37:08.265922,SI-OFBA-6309-45-40-03,0,350.0,37.3,36.9,0.4151,0.0619,0.0139,0.0486,0.0952,RPM_DEVIATION
2025-06-27T10:37:08.366255,SI-OFBA-6309-45-40-03,0,350.0,32.8,36.0,0.498,0.0115,0.0487,0.0647,0.0837,RPM_DEVIATION
2025-06-27T10:37:08.466999,SI-OFBA-6309-45-40-03,0,350.0,36.9,35.0,0.1117,0.0202,0.0466,0.0427,0.0583,RPM_DEVIATION
2025-06-27T10:37:08.567485,SI-OFBA-6309-45-40-03,0,350.0,34.7,35.3,0.4321,0.042,0.0641,0.0194,0.0995,RPM_DEVIATION
2025-06-27T10:37:08.667829,SI-OFBA-6309-45-40-03,0,350.0,32.4,33.2,0.2442,0.0212,0.0924,0.0451,0.0498,RPM_DEVIATION
2025-06-27T10:37:08.768033,SI-OFBA-6309-45-40-03,0,350.0,33.3,33.1,0.2916,0.0927,0.0173,0.0518,0.0249,RPM_DEVIATION
2025-06-27T10:37:08.868463,SI-OFBA-6309-45-40-03,0,350.0,34.8,34.7,0.2057,0.0111,0.0205,0.0107,0.0956,RPM_DEVIATION
2025-06-27T10:37:08.969210,SI-OFBA-6309-45-40-03,0,350.0,33.0,37.3,0.2781,0.0518,0.0312,0.0975,0.0814,RPM_DEVIATION
2025-06-27T10:37:09.069459,SI-OFBA-6309-45-40-03,0,350.0,34.2,35.1,0.2006,0.0817,0.0204,0.0235,0.0924,RPM_DEVIATION
2025-06-27T10:37:09.170255,SI-OFBA-6309-45-40-03,0,350.0,36.9,33.8,0.1583,0.0477,0.0821,0.0188,0.0129,RPM_DEVIATION
