timestamp,sensor_id,simulated_material_temp_c,fire_alarm_state,fault_state,green_led_normal_status,red_led_trip_status
2025-06-23 15:30:16.075,PATOL5450,31.07,0,0,1,0
2025-06-23 15:30:17.076,PATOL5450,29.85,0,0,1,0
2025-06-23 15:30:18.077,PATOL5450,30.08,0,0,1,0
2025-06-23 15:30:19.078,PATOL5450,30.83,0,0,1,0
2025-06-23 15:30:20.078,PATOL5450,31.17,0,0,1,0
2025-06-23 15:30:21.079,PATOL5450,30.55,0,0,1,0
2025-06-23 15:30:22.080,PATOL5450,31.17,0,0,1,0
2025-06-23 15:30:23.080,PATOL5450,29.81,0,0,1,0
2025-06-23 15:30:24.080,PATOL5450,31.09,0,0,1,0
2025-06-23 15:30:25.081,PATOL5450,29.87,0,0,1,0
2025-06-23 15:30:26.082,PATOL5450,29.93,0,0,1,0
2025-06-23 15:30:27.083,PATOL5450,29.95,0,0,1,0
2025-06-23 15:30:28.083,PATOL5450,30.3,0,0,1,0
2025-06-23 15:30:29.084,PATOL5450,31.05,0,0,1,0
2025-06-23 15:30:30.085,PATOL5450,30.76,0,0,1,0
2025-06-23 15:30:31.085,PATOL5450,30.74,0,0,1,0
2025-06-23 15:30:32.086,PATOL5450,29.76,0,0,1,0
2025-06-23 15:30:33.087,PATOL5450,30.93,0,0,1,0
2025-06-23 15:30:34.087,PATOL5450,30.54,0,0,1,0
2025-06-23 15:30:35.088,PATOL5450,30.95,0,0,1,0
2025-06-23 15:30:36.088,PATOL5450,30.18,0,0,1,0
2025-06-23 15:30:37.089,PATOL5450,31.12,0,0,1,0
2025-06-23 15:30:38.089,PATOL5450,30.39,0,0,1,0
2025-06-23 15:30:39.090,PATOL5450,30.03,0,0,1,0
2025-06-23 15:30:40.090,PATOL5450,30.97,0,0,1,0
2025-06-23 15:30:41.091,PATOL5450,31.05,0,0,1,0
2025-06-23 15:30:42.091,PATOL5450,31.21,0,0,1,0
2025-06-23 15:30:43.092,PATOL5450,30.87,0,0,1,0
2025-06-23 15:30:44.093,PATOL5450,31.34,0,0,1,0
2025-06-23 15:30:45.094,PATOL5450,30.34,0,0,1,0
2025-06-23 15:30:46.094,PATOL5450,30.36,0,0,1,0
2025-06-23 15:30:47.095,PATOL5450,31.17,0,0,1,0
2025-06-23 15:30:48.095,PATOL5450,29.73,0,0,1,0
2025-06-23 15:30:49.096,PATOL5450,29.96,0,0,1,0
2025-06-23 15:30:50.097,PATOL5450,30.19,0,0,1,0
2025-06-23 15:30:51.098,PATOL5450,30.26,0,0,1,0
2025-06-23 15:30:52.098,PATOL5450,31.41,0,0,1,0
2025-06-23 15:30:53.099,PATOL5450,31.37,0,0,1,0
2025-06-23 15:30:54.100,PATOL5450,30.64,0,0,1,0
2025-06-23 15:30:55.101,PATOL5450,30.99,0,0,1,0
2025-06-23 15:30:56.102,PATOL5450,30.92,0,0,1,0
2025-06-23 15:30:57.102,PATOL5450,31.02,0,0,1,0
2025-06-23 15:30:58.103,PATOL5450,30.41,0,0,1,0
2025-06-23 15:30:59.103,PATOL5450,30.5,0,0,1,0
2025-06-23 15:31:00.104,PATOL5450,30.16,0,0,1,0
2025-06-23 15:31:01.105,PATOL5450,31.29,0,0,1,0
2025-06-23 15:31:02.105,PATOL5450,30.39,0,0,1,0
2025-06-23 15:31:03.106,PATOL5450,31.12,0,0,1,0
2025-06-23 15:31:04.107,PATOL5450,30.95,0,0,1,0
2025-06-23 15:31:05.108,PATOL5450,30.21,0,0,1,0
2025-06-23 15:31:06.108,PATOL5450,30.49,0,0,1,0
2025-06-23 15:31:07.109,PATOL5450,30.22,0,0,1,0
2025-06-23 15:31:08.110,PATOL5450,30.37,0,0,1,0
2025-06-23 15:31:09.110,PATOL5450,30.21,0,0,1,0
2025-06-23 15:31:10.111,PATOL5450,31.2,0,0,1,0
2025-06-23 15:31:11.112,PATOL5450,31.08,0,0,1,0
2025-06-23 15:31:12.113,PATOL5450,30.5,0,0,1,0
2025-06-23 15:31:13.113,PATOL5450,31.14,0,0,1,0
2025-06-23 15:31:14.114,PATOL5450,30.23,0,0,1,0
2025-06-23 15:31:15.114,PATOL5450,30.36,0,0,1,0
2025-06-23 15:31:16.115,PATOL5450,31.51,0,0,1,0
2025-06-23 15:31:17.116,PATOL5450,30.12,0,0,1,0
2025-06-23 15:31:18.116,PATOL5450,31.79,0,0,1,0
2025-06-23 15:31:19.117,PATOL5450,30.97,0,0,1,0
2025-06-23 15:31:20.117,PATOL5450,29.75,0,0,1,0
2025-06-23 15:31:21.118,PATOL5450,31.09,0,0,1,0
2025-06-23 15:31:22.119,PATOL5450,30.82,0,0,1,0
2025-06-23 15:31:23.120,PATOL5450,30.54,0,0,1,0
2025-06-23 15:31:24.121,PATOL5450,30.48,0,0,1,0
2025-06-23 15:31:25.121,PATOL5450,31.35,0,0,1,0
2025-06-23 15:31:26.121,PATOL5450,30.2,0,0,1,0
2025-06-23 15:31:27.122,PATOL5450,31.07,0,0,1,0
2025-06-23 15:31:28.123,PATOL5450,31.26,0,0,1,0
2025-06-23 15:31:29.123,PATOL5450,30.43,0,0,1,0
2025-06-23 15:31:30.124,PATOL5450,30.84,0,0,1,0
2025-06-23 15:31:31.125,PATOL5450,30.21,0,0,1,0
2025-06-23 15:31:32.125,PATOL5450,30.46,0,0,1,0
2025-06-23 15:31:33.126,PATOL5450,30.65,0,0,1,0
2025-06-23 15:31:34.127,PATOL5450,30.19,0,0,1,0
2025-06-23 15:31:35.127,PATOL5450,30.74,0,0,1,0
2025-06-23 15:31:36.128,PATOL5450,30.0,0,0,1,0
2025-06-23 15:31:37.128,PATOL5450,31.38,0,0,1,0
2025-06-23 15:31:38.129,PATOL5450,31.45,0,0,1,0
2025-06-23 15:31:39.130,PATOL5450,30.52,0,0,1,0
2025-06-23 15:31:40.130,PATOL5450,31.24,0,0,1,0
2025-06-23 15:31:41.131,PATOL5450,30.56,0,0,1,0
2025-06-23 15:31:42.131,PATOL5450,30.43,0,0,1,0
2025-06-23 15:31:43.132,PATOL5450,30.73,0,0,1,0
2025-06-23 15:31:44.132,PATOL5450,30.15,0,0,1,0
2025-06-23 15:31:45.133,PATOL5450,30.74,0,0,1,0
2025-06-23 15:31:46.133,PATOL5450,31.75,0,0,1,0
2025-06-23 15:31:47.134,PATOL5450,30.76,0,0,1,0
2025-06-23 15:31:48.135,PATOL5450,31.07,0,0,1,0
